Date,Symbol,Close,y,pred,pred_chg,act_chg,correct,profit
2018-05-30,NIFTY_50,10614.35,10856.7,10490.61740000003,-123.73259999997026,242.35000000000036,-1,-242.35000000000036
2018-05-31,NIFTY_50,10736.15,10808.05,10511.251600000007,-224.89839999999276,71.89999999999964,-1,-71.89999999999964
2018-06-01,NIFTY_50,10696.2,10817.7,10603.319600000006,-92.88039999999455,121.5,-1,-121.5
2018-06-04,NIFTY_50,10628.5,10799.85,10611.100400000014,-17.399599999986094,171.35000000000036,-1,-171.35000000000036
2018-06-05,NIFTY_50,10593.15,10710.45,10599.912400000003,6.762400000003254,117.30000000000109,1,117.30000000000109
2018-06-06,NIFTY_50,10684.65,10772.05,10612.500600000001,-72.14939999999842,87.39999999999964,-1,-87.39999999999964
2018-06-07,NIFTY_50,10768.35,10741.1,10598.522400000003,-169.8275999999969,-27.25,1,27.25
2018-06-08,NIFTY_50,10767.65,10821.85,10638.091799999993,-129.55820000000676,54.20000000000073,-1,-54.20000000000073
2018-06-11,NIFTY_50,10786.95,10762.45,10617.588799999998,-169.361200000003,-24.5,1,24.5
2018-06-12,NIFTY_50,10842.85,10769.15,10643.707000000006,-199.14299999999457,-73.70000000000073,1,73.70000000000073
2018-06-13,NIFTY_50,10856.7,10671.4,10683.057200000005,-173.642799999996,-185.3000000000011,1,185.3000000000011
2018-06-14,NIFTY_50,10808.05,10589.1,10654.730599999999,-153.31940000000031,-218.9499999999989,1,218.9499999999989
2018-06-15,NIFTY_50,10817.7,10714.3,10659.083000000008,-158.6169999999929,-103.40000000000146,1,103.40000000000146
2018-06-18,NIFTY_50,10799.85,10657.3,10678.437600000003,-121.41239999999743,-142.5500000000011,1,142.5500000000011
2018-06-19,NIFTY_50,10710.45,10699.9,10689.399800000005,-21.05019999999604,-10.550000000001091,1,10.550000000001091
2018-06-20,NIFTY_50,10772.05,10769.9,10686.522599999993,-85.52740000000631,-2.149999999999636,1,2.149999999999636
2018-06-21,NIFTY_50,10741.1,10749.75,10681.718200000001,-59.3817999999992,8.649999999999636,-1,-8.649999999999636
2018-06-22,NIFTY_50,10821.85,10772.65,10691.67760000001,-130.17239999999038,-49.20000000000073,1,49.20000000000073
2018-06-25,NIFTY_50,10762.45,10852.9,10670.719599999999,-91.73040000000219,90.44999999999891,-1,-90.44999999999891
2018-06-26,NIFTY_50,10769.15,10947.25,10715.944200000004,-53.20579999999609,178.10000000000036,-1,-178.10000000000036
2018-06-27,NIFTY_50,10671.4,10948.3,10673.659599999984,2.2595999999848573,276.89999999999964,1,276.89999999999964
2018-06-28,NIFTY_50,10589.1,11023.2,10666.758999999987,77.65899999998692,434.10000000000036,1,434.10000000000036
2018-06-29,NIFTY_50,10714.3,11018.9,10656.75719999998,-57.54280000001927,304.60000000000036,-1,-304.60000000000036
2018-07-02,NIFTY_50,10657.3,10936.85,10692.385599999992,35.085599999993065,279.5500000000011,1,279.5500000000011
2018-07-03,NIFTY_50,10699.9,11008.05,10672.050200000003,-27.84979999999632,308.14999999999964,-1,-308.14999999999964
2018-07-04,NIFTY_50,10769.9,10980.45,10753.944400000013,-15.955599999986589,210.5500000000011,-1,-210.5500000000011
2018-07-05,NIFTY_50,10749.75,10957.1,10732.4304,-17.31960000000072,207.35000000000036,-1,-207.35000000000036
2018-07-06,NIFTY_50,10772.65,11010.2,10704.8718,-67.77819999999883,237.5500000000011,-1,-237.5500000000011
2018-07-09,NIFTY_50,10852.9,11084.75,10698.639800000003,-154.26019999999698,231.85000000000036,-1,-231.85000000000036
2018-07-10,NIFTY_50,10947.25,11134.3,10623.668799999981,-323.5812000000187,187.04999999999927,-1,-187.04999999999927
2018-07-11,NIFTY_50,10948.3,11132.0,10611.795799999993,-336.5042000000067,183.70000000000073,-1,-183.70000000000073
2018-07-12,NIFTY_50,11023.2,11167.3,10588.334999999994,-434.86500000000706,144.09999999999854,-1,-144.09999999999854
2018-07-13,NIFTY_50,11018.9,11278.35,10587.555399999988,-431.34460000001127,259.4500000000007,-1,-259.4500000000007
2018-07-16,NIFTY_50,10936.85,11319.55,10604.722799999981,-332.127200000019,382.6999999999989,-1,-382.6999999999989
2018-07-17,NIFTY_50,11008.05,11356.5,10598.580599999983,-409.4694000000163,348.4500000000007,-1,-348.4500000000007
2018-07-18,NIFTY_50,10980.45,11346.2,10620.97459999999,-359.47540000001027,365.75,-1,-365.75
2018-07-19,NIFTY_50,10957.1,11244.7,10685.887799999993,-271.2122000000072,287.60000000000036,-1,-287.60000000000036
2018-07-20,NIFTY_50,11010.2,11360.8,10745.374399999992,-264.8256000000092,350.59999999999854,-1,-350.59999999999854
